"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4d46f1e6b1a819a85d98fd"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.62E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"168.421052631579h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46f6e6b1a819a85d98ff"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"8.96E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"345.995423340961h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4700e6b1a819a85d9901"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.69E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"734.096109839817h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4705e6b1a819a85d9903"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.28E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"706.636155606407h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d470ae6b1a819a85d9905"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.24E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"701.144164759725h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d470fe6b1a819a85d9907"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.55E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"724.942791762014h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4714e6b1a819a85d9909"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.95E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"108.009153318078h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4719e6b1a819a85d990b"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.49E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"721.281464530892h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d471de6b1a819a85d990d"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.33E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"710.297482837529h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4722e6b1a819a85d990f"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.27E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"31.1212814645309h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4727e6b1a819a85d9911"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.61E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"730.434782608696h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d472ce6b1a819a85d9913"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.38E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"712.128146453089h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4731e6b1a819a85d9915"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.43E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"715.789473684211h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4736e6b1a819a85d9917"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.29E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"56.7505720823799h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d473be6b1a819a85d9919"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.93E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"80.5491990846682h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4740e6b1a819a85d991b"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"6.32E-2%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"14.6453089244851h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4745e6b1a819a85d991d"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.65E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"728.604118993135h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d474fe6b1a819a85d991f"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"7.13E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"635.240274599542h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4754e6b1a819a85d9921"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.12E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"688.329519450801h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4759e6b1a819a85d9923"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"9.06E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"662.700228832952h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d475ee6b1a819a85d9925"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"5.26E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"594.965675057208h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4763e6b1a819a85d9927"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"8.19E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"648.054919908467h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4768e6b1a819a85d9929"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"6.20E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"615.102974828375h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d476ce6b1a819a85d992b"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"5.70E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"607.780320366133h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4771e6b1a819a85d992d"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.07E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"684.66819221968h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4776e6b1a819a85d992f"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"8.56E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"657.20823798627h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d477be6b1a819a85d9931"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"6.69E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"624.256292906178h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4780e6b1a819a85d9933"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.20E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"697.482837528604h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4785e6b1a819a85d9935"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.02E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"677.345537757437h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d478ae6b1a819a85d9937"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.16E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"691.990846681922h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d478fe6b1a819a85d9939"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"9.68E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"671.853546910755h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4794e6b1a819a85d993b"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"7.57E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"642.562929061785h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d479de6b1a819a85d993d"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.96E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"529.061784897025h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d47a2e6b1a819a85d993f"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.03E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"419.221967963387h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d47a7e6b1a819a85d9941"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"3.83E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"558.352402745995h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d47ace6b1a819a85d9943"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.21E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"437.528604118993h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d47b1e6b1a819a85d9945"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"4.83E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"582.151029748284h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d47b6e6b1a819a85d9947"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.09E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"490.617848970252h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d47bbe6b1a819a85d9949"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"7.75E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"382.608695652174h","{110}<001>","900℃",,,,,,,,,,,,,,,,,
